Campaign,Ad Group,Ad Type,Headline 1,Headline 1 position,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2,Final URL,Status
TQ | Pesquisa | Projetos de Engenharia,Produtos Eletrônicos e Hardware,Responsive search ad,Produtos Eletrônicos,1,Desenvolvimento de Hardware,Engenharia Eletrônica,Da Ideia ao Produto Real,Design House de Eletrônica,Braço Técnico de Engenharia,Engenharia Desde 2001,45 Equipamentos em Campo,6 Anos Sem Interrupção,Um Só Fornecedor Técnico,Do Circuito ao Aplicativo,Escopo e Prazo Fechados,Atendemos Todo o Brasil,Projeto de Grande Porte,Fale com um Especialista,"Transformamos a ideia em circuito, protótipo e equipamento pronto para operar.","Hardware, firmware e PCB integrados pela mesma equipe, sem depender de terceiros.",Mais de 45 equipamentos em operação contínua há mais de seis anos. Desde 2001.,"Escopo, prazo e valor fechados antes da primeira linha de código. Fale conosco.",produtos,eletronicos,https://taquionica.com.br/desenvolvimento-produtos-eletronicos,Enabled
TQ | Pesquisa | Projetos de Engenharia,Projeto de PCB,Responsive search ad,Projeto e Layout de PCB,1,Desenvolvimento de PCB,Revisão do Layout da Placa,PCB Pronta Para Fabricar,Menos Ruído na Sua Placa,Placa Eletrônica Sob Medida,Engenharia Desde 2001,45 Equipamentos em Campo,6 Anos Sem Interrupção,Um Só Fornecedor Técnico,Do Circuito ao Aplicativo,Escopo e Prazo Fechados,Atendemos Todo o Brasil,Projeto de Grande Porte,Fale com um Especialista,"Layout, organização de sinais, redução de ruído e preparação para fabricação.",Revisamos placas que falham em campo e indicamos o caminho para corrigir.,Mais de 45 equipamentos em operação contínua há mais de seis anos. Desde 2001.,"Escopo, prazo e valor fechados antes da primeira linha de código. Fale conosco.",pcb,layout,https://taquionica.com.br/projeto-de-pcb,Enabled
TQ | Pesquisa | Projetos de Engenharia,Firmware e Embarcados,Responsive search ad,Desenvolvimento de Firmware,1,Firmware Para Embarcados,Firmware Que Não Trava,Corrigimos Firmware Instável,Microcontrolador Sob Medida,Atualização Remota de Frota,Engenharia Desde 2001,45 Equipamentos em Campo,6 Anos Sem Interrupção,Um Só Fornecedor Técnico,Do Circuito ao Aplicativo,Escopo e Prazo Fechados,Atendemos Todo o Brasil,Projeto de Grande Porte,Fale com um Especialista,"Programação de microcontroladores, sensores, displays, atuadores e comunicação.","Frota atualizada à distância, com novas versões sem deslocar técnico até o cliente.",Mais de 45 equipamentos em operação contínua há mais de seis anos. Desde 2001.,"Escopo, prazo e valor fechados antes da primeira linha de código. Fale conosco.",firmware,embarcado,https://taquionica.com.br/desenvolvimento-firmware,Enabled
TQ | Pesquisa | Projetos de Engenharia,Terceirização de Engenharia,Responsive search ad,Engenharia Terceirizada,1,Design House de Eletrônica,Braço Técnico de Engenharia,Time de Engenharia Sob Escopo,Seu Projeto Sai da Fila,Sem Custo Fixo de Equipe,Engenharia Desde 2001,45 Equipamentos em Campo,6 Anos Sem Interrupção,Um Só Fornecedor Técnico,Do Circuito ao Aplicativo,Escopo e Prazo Fechados,Atendemos Todo o Brasil,Projeto de Grande Porte,Fale com um Especialista,"Você contrata a engenharia que o escopo exige, não a folha de um time parado.","Hardware, firmware, PCB e aplicativo pela mesma equipe, com um só responsável.",Mais de 45 equipamentos em operação contínua há mais de seis anos. Desde 2001.,"Escopo, prazo e valor fechados antes da primeira linha de código. Fale conosco.",engenharia,terceirizada,https://taquionica.com.br/terceirizacao-de-engenharia-eletronica,Enabled
TQ | Pesquisa | Projetos de Engenharia,Diagnóstico e Consultoria Técnica,Responsive search ad,Diagnóstico Técnico,1,Análise de Falha em Placa,Seu Equipamento Falha?,Achamos a Causa da Falha,Revisão de Projeto Eletrônico,Consultoria em Eletrônica,Engenharia Desde 2001,45 Equipamentos em Campo,6 Anos Sem Interrupção,Um Só Fornecedor Técnico,Do Circuito ao Aplicativo,Escopo e Prazo Fechados,Atendemos Todo o Brasil,Projeto de Grande Porte,Fale com um Especialista,"Analisamos hardware, firmware, comunicação e layout para achar a causa da falha.",Você recebe a estimativa de horas e as causas prováveis antes de contratar.,Mais de 45 equipamentos em operação contínua há mais de seis anos. Desde 2001.,"Escopo, prazo e valor fechados antes da primeira linha de código. Fale conosco.",diagnostico,tecnico,https://taquionica.com.br/diagnostico-tecnico,Enabled
TQ | Pesquisa | Indústria Conectada,Monitoramento Remoto e Telemetria,Responsive search ad,Monitoramento Remoto,1,Telemetria de Equipamentos,Alertas em Tempo Real,Menos Visita Técnica,Do Sensor ao Dashboard,Acompanhe de Onde Estiver,Engenharia Desde 2001,45 Equipamentos em Campo,6 Anos Sem Interrupção,Um Só Fornecedor Técnico,Do Circuito ao Aplicativo,Escopo e Prazo Fechados,Atendemos Todo o Brasil,Projeto de Grande Porte,Fale com um Especialista,"Conectamos equipamentos para enviar dados, gerar alertas e receber comandos.","Temperatura, tensão, consumo e alarmes em tempo real, de onde você estiver.",Mais de 45 equipamentos em operação contínua há mais de seis anos. Desde 2001.,"Escopo, prazo e valor fechados antes da primeira linha de código. Fale conosco.",monitoramento,remoto,https://taquionica.com.br/monitoramento-remoto-iot,Enabled
TQ | Pesquisa | Indústria Conectada,IoT Industrial,Responsive search ad,IoT Industrial Sob Medida,1,Soluções de IoT Industrial,Empresa de IoT no Brasil,Sensores e Gateway IoT,Do Sensor à Nuvem,Projeto de IoT Sob Medida,Engenharia Desde 2001,45 Equipamentos em Campo,6 Anos Sem Interrupção,Um Só Fornecedor Técnico,Do Circuito ao Aplicativo,Escopo e Prazo Fechados,Atendemos Todo o Brasil,Projeto de Grande Porte,Fale com um Especialista,"Rede de sensores, gateway e nuvem desenvolvidos para a sua operação industrial.","MQTT, Modbus, Wi-Fi e 4G integrados pela mesma equipe que faz a eletrônica.",Mais de 45 equipamentos em operação contínua há mais de seis anos. Desde 2001.,"Escopo, prazo e valor fechados antes da primeira linha de código. Fale conosco.",iot,industrial,https://taquionica.com.br/monitoramento-remoto-iot,Enabled
TQ | Pesquisa | Indústria Conectada,Coleta de Dados e Produção,Responsive search ad,Coleta de Dados de Máquina,1,Monitorar a Produção,OEE e Parada de Máquina,Conecte a Máquina Antiga,Dados do Chão de Fábrica,Apontamento Automático,Engenharia Desde 2001,45 Equipamentos em Campo,6 Anos Sem Interrupção,Um Só Fornecedor Técnico,Do Circuito ao Aplicativo,Escopo e Prazo Fechados,Atendemos Todo o Brasil,Projeto de Grande Porte,Fale com um Especialista,"Contagem de peças, tempo e motivo de parada e OEE em painel de tempo real.","Conectamos até a máquina antiga, sem CLP e sem saída de dados na origem.",Mais de 45 equipamentos em operação contínua há mais de seis anos. Desde 2001.,"Escopo, prazo e valor fechados antes da primeira linha de código. Fale conosco.",coleta,dados,https://taquionica.com.br/coleta-de-dados-de-maquinas,Enabled
TQ | Pesquisa | Indústria Conectada,Manutenção Preditiva,Responsive search ad,Manutenção Preditiva,1,Preveja a Parada de Máquina,Sensores Para Preditiva,Reduza Parada Não Prevista,Monitoramento de Ativos,Alerta Antes da Quebra,Engenharia Desde 2001,45 Equipamentos em Campo,6 Anos Sem Interrupção,Um Só Fornecedor Técnico,Do Circuito ao Aplicativo,Escopo e Prazo Fechados,Atendemos Todo o Brasil,Projeto de Grande Porte,Fale com um Especialista,Sensores e telemetria que avisam antes de a máquina parar no meio do turno.,Monitoramento de ativos industriais com alerta no celular de quem precisa agir.,Mais de 45 equipamentos em operação contínua há mais de seis anos. Desde 2001.,"Escopo, prazo e valor fechados antes da primeira linha de código. Fale conosco.",manutencao,preditiva,https://taquionica.com.br/monitoramento-remoto-iot,Enabled
TQ | Pesquisa | Indústria Conectada,Retrofit e Modernização de Máquinas,Responsive search ad,Retrofit de Máquinas,1,Modernização de Máquinas,"Comando Novo, Máquina Sua",Peça de Reposição Acabou?,Automatize a Máquina Antiga,Eletrônica e Firmware Novos,Engenharia Desde 2001,45 Equipamentos em Campo,6 Anos Sem Interrupção,Um Só Fornecedor Técnico,Do Circuito ao Aplicativo,Escopo e Prazo Fechados,Atendemos Todo o Brasil,Projeto de Grande Porte,Fale com um Especialista,"Trocamos a eletrônica de comando e o firmware, mantendo a mecânica que funciona.",A máquina volta a produzir e passa a conversar com a rede da sua fábrica.,Mais de 45 equipamentos em operação contínua há mais de seis anos. Desde 2001.,"Escopo, prazo e valor fechados antes da primeira linha de código. Fale conosco.",retrofit,maquinas,https://taquionica.com.br/retrofit-de-maquinas,Enabled
TQ | Pesquisa | Indústria Conectada,Aplicativos e Dashboards,Responsive search ad,Aplicativo Para Equipamento,1,Controle Pelo Celular,Dashboard de Equipamentos,App Conectado ao Firmware,Configure Sem Ir Até Lá,Gráficos em Tempo Real,Engenharia Desde 2001,45 Equipamentos em Campo,6 Anos Sem Interrupção,Um Só Fornecedor Técnico,Do Circuito ao Aplicativo,Escopo e Prazo Fechados,Atendemos Todo o Brasil,Projeto de Grande Porte,Fale com um Especialista,Aplicativo e painel desenvolvidos junto com o firmware que roda no equipamento.,"Configure, acompanhe e controle o equipamento pelo celular, de qualquer lugar.",Mais de 45 equipamentos em operação contínua há mais de seis anos. Desde 2001.,"Escopo, prazo e valor fechados antes da primeira linha de código. Fale conosco.",aplicativo,equipamento,https://taquionica.com.br/aplicativo-para-equipamentos,Enabled
